img,zone_id,quete,groupe,check,week,question,points,difficulté,type,zone_name,longitude,latitude,date,Make,Aperture,Model,ApertureValue,label,inzone
102_8_97.jpg,8,102,97,1,1,Trouvez des akènes,1,facile,végétal,Biéreau-Baraque,4.6175,50.6669444444444,2019:04:26 10:44:55,samsung,1.9,SM-A310F,1.89868424190104,<p>Cette quête à été trouvée par le groupe <b>97</b>,2
103_1_104.JPG,1,103,104,1,1,Trouvez des akènes à aigrette de soies,1,facile,végétal,Bois de Lauzelle,4.60517222222222,50.6728972222222,2019:04:26 13:42:42,Apple,1.8,iPhone 7 Plus,1.79999993941969,<p>Cette quête à été trouvée par le groupe <b>104</b>,2
103_3_85.jpg,3,103,85,1,1,Trouvez des akènes à aigrette de soies,1,facile,végétal,Lac,NA,NA,2019:04:26 14:21:26,HUAWEI,2,ALE-L21,2,<p>Cette quête à été trouvée par le groupe <b>85</b>,0
103_3_92.jpg,3,103,92,1,1,Trouvez des akènes à aigrette de soies,1,facile,végétal,Lac,4.60861111111111,50.6669444444444,2019:04:23 11:59:44,samsung,1.7,SM-G950F,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>92</b>,2
103_4_27.JPG,4,103,27,1,1,Trouvez des akènes à aigrette de soies,1,facile,végétal,Bruyères,4.61304444444444,50.6630972222222,2019:04:25 16:59:07,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>27</b>,2
103_8_39.JPG,8,103,39,1,1,Trouvez des akènes à aigrette de soies,1,facile,végétal,Biéreau-Baraque,4.62009722222222,50.6680916666667,2019:04:26 12:48:28,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>39</b>,0
104_1_30.jpg,1,104,30,1,1,Trouvez une gousse,1,facile,végétal,Bois de Lauzelle,NA,NA,2019:04:26 11:00:00,HUAWEI,1.8,BKL-L09,1.79626474576787,<p>Cette quête à été trouvée par le groupe <b>30</b>,0
104_4_61.jpg,4,104,61,1,1,Trouvez une gousse,1,facile,végétal,Bruyères,4.60955833333333,50.6665722222222,2019:04:26 11:35:38,Apple,1.8,iPhone XR,1.79999999993144,<p>Cette quête à été trouvée par le groupe <b>61</b>,2
104_8_43.jpg,8,104,43,1,1,Trouvez une gousse,1,facile,végétal,Biéreau-Baraque,4.61784076666667,50.6669616697222,2019:04:24 14:51:19,HUAWEI,2.2,WAS-LX1A,2.1961856275741,<p>Cette quête à été trouvée par le groupe <b>43</b>,2
107_1_27.jpeg.jpeg,1,107,27,0,1,Trouvez des baies,1,facile,végétal,Bois de Lauzelle,4.60029722222222,50.669575,2019:04:24 09:26:41,Apple,2.2,iPhone SE,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>27</b>,2
107_1_88.JPG,1,107,88,1,1,Trouvez des baies,1,facile,végétal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>88</b>,0
107_2_104.JPG,2,107,104,0,1,Trouvez des baies,1,facile,végétal,Hocaille,4.60575277777778,50.6720305555556,2019:04:26 15:04:15,Apple,1.8,iPhone 7 Plus,1.79999999993144,<p>Cette quête à été trouvée par le groupe <b>104</b>,2
107_2_13.jpeg,2,107,13,0,1,Trouvez des baies,1,facile,végétal,Hocaille,4.60804166666667,50.6659138888889,2019:04:25 12:03:14,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>13</b>,2
